coordinate_velocity_c,positive_energy_J,scaling_factor,tidal_acceleration_g,t_stress_tensor,viable_operation,earth_proxima_days,energy_efficiency,velocity_category
30.0,2.462239433470597e+61,1.062287898723717,0.038247393360561786,3.2656464742719452e+40,True,51.622,4.061343451844857e-47,MEDIUM_VELOCITY
31.0,2.609417829918637e+61,1.0597742016667273,0.04172823207242282,3.460847885197314e+40,True,49.95677419354839,3.832272426954255e-47,MEDIUM_VELOCITY
32.0,2.759248119979615e+61,1.0574190489323245,0.04538728977339085,3.6595664792647897e+40,True,48.395625,3.624175704819862e-47,MEDIUM_VELOCITY
33.0,2.9115796247789156e+61,1.0552076138772277,0.04922637377522566,3.8616024124100856e+40,True,46.92909090909091,3.4345617461034843e-47,MEDIUM_VELOCITY
34.0,3.0662628080431607e+61,1.053126894400489,0.05324716370427583,4.06675735599087e+40,True,45.54882352941177,3.261299055569812e-47,MEDIUM_VELOCITY
35.0,3.223149495166779e+61,1.0511654404547732,0.05745121772820416,4.2748347873328323e+40,True,44.24742857142857,3.102555439949446e-47,MEDIUM_VELOCITY
36.0,3.3820930816357016e+61,1.049313128884423,0.06183997845241024,4.485640266160192e+40,True,43.01833333333334,2.9567489003477223e-47,MEDIUM_VELOCITY
37.0,3.542948730459025e+61,1.0475609762773082,0.06641477850606547,4.698981696447574e+40,True,41.85567567567568,2.822507679557756e-47,MEDIUM_VELOCITY
38.0,3.705573558326531e+61,1.0459009825542793,0.07117684583632035,4.914669573319093e+40,True,40.754210526315795,2.6986375638205077e-47,MEDIUM_VELOCITY
39.0,3.8698268102764875e+61,1.0443259995691827,0.07612730872799008,5.13251721470871e+40,True,39.70923076923077,2.584094971238656e-47,MEDIUM_VELOCITY
40.0,4.035570022723094e+61,1.0428296201800216,0.0812672005648631,5.352340977582106e+40,True,38.7165,2.477964684962218e-47,MEDIUM_VELOCITY
41.0,4.2026671747558867e+61,1.0414060841695023,0.08659746434770263,5.573960458603747e+40,True,37.77219512195122,2.379441336698487e-47,MEDIUM_VELOCITY
42.0,4.3709848276837417e+61,1.0400501981072607,0.09211895698301607,5.797198679212865e+40,True,36.87285714285714,2.2878139353549687e-47,MEDIUM_VELOCITY
43.0,4.540392252853438e+61,1.0387572668055836,0.09783245335574414,6.021882255148095e+40,True,36.0153488372093,2.20245288140368e-47,MEDIUM_VELOCITY
44.0,4.7107615478266034e+61,1.0375230344616362,0.10373865019816728,6.247841550531932e+40,True,35.19681818181818,2.1227990205986302e-47,MEDIUM_VELOCITY
45.0,4.8819677410493786e+61,1.0363436339293728,0.10983816976653402,6.474910816693188e+40,True,34.41466666666667,2.048354378894462e-47,MEDIUM_VELOCITY
46.0,5.053888885195531e+61,1.0352155428436318,0.11613156333618029,6.702928315967142e+40,True,33.66652173913044,1.9786742896728937e-47,MEDIUM_VELOCITY
47.0,5.226406139406537e+61,1.034135545543228,0.12261931452522604,6.931736430769831e+40,True,32.950212765957446,1.913360679071816e-47,MEDIUM_VELOCITY
48.0,5.399403840690676e+61,1.0331006999206882,0.12930184245630036,7.161181758294046e+40,True,32.26375,1.8520563186325454e-47,MEDIUM_VELOCITY
